  Area Percent Report

  Data Path : I:\04 GCMS\06 MS file\2015\03 Mar\150323WD\
  Data File : ELP_4404.D                                          
  Acq On    : 24 Mar 2015  00:19
  Operator  : Jakkrit/TV/ALS Thailand
  Sample    : SEI;1pc;30;R
  Misc      : APFA;Rembrandt;ww39
  ALS Vial  : 9   Sample Multiplier: 1

  Integration Parameters: For 2314.E
  Integrator: ChemStation

  Method    : I:\02 DHS\DHS Method\WDHC_GC.M
  Title     :  

  Signal     : TIC: ELP_4404.D\data.ms

 peak  R.T. first  max last  PK   peak      corr.   corr.    % of
   #   min   scan scan scan  TY  height     area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------  ------  -------
  1  12.741  1084 1087 1089   M     7552     73814   0.32%   0.151%
  2  13.477  1182 1185 1188   M    17215    189777   0.83%   0.387%
  3  13.688  1196 1213 1222   M  1070647  17457581  75.95%  35.602%
  4  13.996  1250 1254 1256   M5    6517     64812   0.28%   0.132%
  5  14.068  1259 1264 1270   M    33944    647651   2.82%   1.321%
 
  6  14.386  1300 1306 1310   M    15533    189308   0.82%   0.386%
  7  14.460  1311 1316 1318   M4    5761    101889   0.44%   0.208%
  8  14.702  1336 1348 1354   M   216091   2888023  12.57%   5.890%
  9  14.868  1367 1370 1374   M    12110    146967   0.64%   0.300%
 10  15.025  1385 1391 1398   M   100161   1292751   5.62%   2.636%
 
 11  15.158  1406 1409 1411   M2    8912    101530   0.44%   0.207%
 12  15.326  1428 1431 1434   M    31084    323567   1.41%   0.660%
 13  15.415  1441 1443 1445   M2   13494    129761   0.56%   0.265%
 14  15.500  1451 1454 1458   M3   11058    145501   0.63%   0.297%
 15  15.684  1474 1479 1481   M5    5189    101301   0.44%   0.207%
 
 16  15.986  1515 1519 1522   M3   10311    142712   0.62%   0.291%
 17  16.105  1532 1535 1540   M    25447    318357   1.39%   0.649%
 18  16.163  1540 1543 1544   M     6008     52597   0.23%   0.107%
 19  16.684  1608 1612 1617   M4   12740    235491   1.02%   0.480%
 20  16.788  1624 1626 1630   M4    9633     92542   0.40%   0.189%
 
 21  16.890  1637 1640 1644   M3    8020    123621   0.54%   0.252%
 22  16.961  1647 1649 1654   M6    8682    111580   0.49%   0.228%
 23  17.267  1683 1690 1695   M4   25602    552679   2.40%   1.127%
 24  17.363  1696 1703 1708   M8    7951    263032   1.14%   0.536%
 25  17.674  1741 1744 1747 BB 3    6876     86504   0.38%   0.176%
 
 26  18.098  1793 1801 1821   M  1595098  22984131 100.00%  46.873%
 27  18.287  1823 1826 1828   M3    6306     71873   0.31%   0.147%
 28  18.662  1873 1876 1878   M3   12203    145907   0.63%   0.298%
 
 
                        Sum of corrected areas:    49035259

WDHC_GC.M Tue Mar 24 15:51:46 2015   
